type,name,value,min,max,model,product
CV,R2,0.6626227171493725,0.5740207678555905,0.7349857453377941,SLMER,OMI
CV,RMSE,7.939745104741821,7.213436029130918,9.494655470726617,SLMER,OMI
spatialCV,R2,0.6488382964222061,0.555926845213107,0.745989631982912,SLMER,OMI
spatialCV,RMSE,8.111777997587794,6.678214572162644,10.56943942769037,SLMER,OMI
temporalCV,R2,0.41049897504971616,0.38039665933362043,0.5985902088459008,SLMER,OMI
temporalCV,RMSE,10.523157256772896,6.810122273906641,19.319723000098314,SLMER,OMI
training,R2,0.6978438588807844,NA,NA,SLMER,OMI
training,RMSE,7.5145021325978085,NA,NA,SLMER,OMI
CV,intercept,1.0880064896748225,0.9197636339664985,1.2562493453831465,SLMER,OMI
CV,slope,0.9801886124994603,0.972795648386421,0.9875815766124997,SLMER,OMI
spatialCV,intercept,0.8518601646888234,0.6772464911306849,1.0264738382469618,SLMER,OMI
spatialCV,slope,1.0005206272534377,0.992740341099072,1.0083009134078034,SLMER,OMI
temporalCV,intercept,0.1075323319574015,-0.1728006056106369,0.38786526952543987,SLMER,OMI
temporalCV,slope,1.0540400721053296,1.040688649165589,1.0673914950450702,SLMER,OMI
training,intercept,0.018640725159260674,-0.14397924371090337,0.18126069402942474,SLMER,OMI
training,slope,1.0300874503148694,1.0229228021868533,1.0372520984428855,SLMER,OMI
