type,name,value,min,max,model,product
CV,R2,0.6294690487629723,0.5934805482270419,0.7168286890214021,RF,OMI
CV,RMSE,8.288740319673671,6.86600016144817,10.14660374755471,RF,OMI
spatialCV,R2,0.6068257945425739,0.5704415962787011,0.6355371625489757,RF,OMI
spatialCV,RMSE,8.53640723383573,7.716166597497517,9.447660029713656,RF,OMI
temporalCV,R2,0.714709694410128,0.6167752799663971,0.7960576685589833,RF,OMI
temporalCV,RMSE,7.279743948255257,4.5079540313091675,11.974488289800894,RF,OMI
training,R2,0.8414847200527328,NA,NA,RF,OMI
training,RMSE,5.4535834366280325,NA,NA,RF,OMI
CV,intercept,0.35952955162210015,0.174435181841398,0.5446239214028024,RF,OMI
CV,slope,0.9835201964911733,0.9755405789817324,0.9914998140006142,RF,OMI
spatialCV,intercept,0.13415622169638847,-0.06094879602920486,0.3292612394219818,RF,OMI
spatialCV,slope,0.994997382665247,0.9865279139664137,1.00346685136408,RF,OMI
temporalCV,intercept,-0.5933832899619017,-0.7536567905140525,-0.43310978940975087,RF,OMI
temporalCV,slope,1.0311032964417401,1.0242143218560984,1.037992271027382,RF,OMI
training,intercept,-1.0909788292704978,-1.2052761078922611,-0.9766815506487345,RF,OMI
training,slope,1.0505634881237402,1.0457416959410715,1.055385280306409,RF,OMI
