mtry,N.trees,OOB_MSE,OOB_R2,CV_R2
3,50,15.19548995668031,0.8846843042690006,0.7044401015677044
5,50,13.13137460258779,0.9003484848123582,0.7012024805178075
8,50,13.016285337178138,0.901221875453247,0.7021378985821749
10,50,12.922521944498397,0.9019334280844413,0.6961577030658601
20,50,13.465577774207581,0.8978122802305573,0.6822720014507111
30,50,14.225499877344813,0.892045375295313,0.6845270398457772
3,100,13.667360705354904,0.8962809877774525,0.7126183636676019
5,100,12.64361546236518,0.904049996561191,0.7058085476894911
8,100,12.405851270113223,0.9058543439910941,0.7055834072729724
10,100,12.069664618248176,0.9084056008288672,0.6947395843600478
20,100,12.892090334239091,0.9021643678119046,0.6841839254363065
30,100,13.368687364453214,0.8985475632021718,0.67781301997262
3,150,13.51105436688781,0.8974671669805504,0.7109271988746899
5,150,12.25402844520769,0.9070064986588106,0.7077577817092349
8,150,12.140226628923713,0.907870119092087,0.7029478341608124
10,150,11.916256245730132,0.9095697879171618,0.694121030129118
20,150,12.791519490743575,0.9029275808982217,0.6847952413800812
30,150,13.185054085887792,0.8999411213788087,0.6787799439203673
3,250,13.484342378925337,0.897669879198783,0.7098057667789611
5,250,12.172015822372948,0.9076288769228792,0.707113358963043
8,250,11.940147948146056,0.9093884783118682,0.7015591445467708
10,250,11.824969328340096,0.9102625470463496,0.6979643073143301
20,250,12.446599517981626,0.9055451132544636,0.686989940064578
30,250,12.984053099144555,0.9014664798039066,0.6793548117517259
3,300,13.428937136855453,0.8980903390888325,0.7110608434787621
5,300,12.16046301508502,0.9077165489896472,0.7083320512867508
8,300,11.968138069081778,0.9091760665845399,0.7035980585175536
10,300,11.861662571617977,0.9099840889716657,0.7005930434932328
20,300,12.41946668796793,0.9057510191633288,0.6867163687192667
30,300,12.957393812548434,0.90166879208145,0.6797334453021573
3,500,13.200906285811303,0.8998208220354997,0.7118734716060873
5,500,12.118825387686227,0.908032529059113,0.7088422085955184
8,500,11.867376173013447,0.9099407295326527,0.7035262516740087
10,500,11.7696284284089,0.9106825186560928,0.7007989087332143
20,500,12.322017282631082,0.9064905442465625,0.6870743739625906
30,500,12.941117166605157,0.9017923124652262,0.6814296074041172
3,1000,12.99983773752357,0.9013466931723648,0.711762023328311
5,1000,12.050800698760732,0.9085487555416214,0.7091604915331466
8,1000,11.77388440737338,0.9106502208376807,0.7036337025655058
10,1000,11.750138568521956,0.9108304235120054,0.7015365919707159
20,1000,12.318942326110825,0.9065138795092942,0.6892945642177282
30,1000,12.797571396824566,0.9028816541290147,0.6818091957147016
3,1500,12.928940848544112,0.9018847162371779,0.7095740956155736
5,1500,11.94478900027909,0.9093532582461006,0.7081217323930539
8,1500,11.822082034729815,0.910284458170795,0.7042233289132691
10,1500,11.798068196675338,0.9104666946403209,0.7011461163451074
20,1500,12.30014789499921,0.9066565068879231,0.6892650211244045
30,1500,12.773365641912386,0.9030653470192307,0.6808111965523981
3,2000,12.909868855590608,0.9020294499800634,0.7100787741678397
5,2000,11.910052470023016,0.9096168671962022,0.7091251621312056
8,2000,11.82192185964933,0.9102856737091486,0.7045208889974497
10,2000,11.833428498288372,0.9101983520075142,0.7017856700830762
20,2000,12.341786320494036,0.9063405207618576,0.6890601208296583
30,2000,12.833983401602863,0.9026053303200463,0.6804789068972729
3,3000,12.9294032279824,0.9018812073271809,0.7093527106518688
5,3000,11.903894779264268,0.9096635967452964,0.7088892891665819
8,3000,11.829597219974456,0.9102274268531143,0.7045452474136973
10,3000,11.859159520123566,0.9100030841554572,0.7012708945580851
20,3000,12.39048083150316,0.9059709873390258,0.6885707739848252
30,3000,12.81508599852657,0.9027487391334156,0.680675588590249
3,5000,12.947315707319735,0.9017452729135529,0.7090907664086843
5,5000,11.932573750088249,0.9094459574666128,0.7089829171590427
8,5000,11.799650351693003,0.9104546879655026,0.704778427560628
10,5000,11.860319150092096,0.9099942839432236,0.7015830424883487
20,5000,12.388213979239787,0.9059881900515817,0.6888984213328679
30,5000,12.816419202577983,0.9027386217003365,0.6810159303138943
