name,value,model,product
Moran_I_statistic,-0.005867323719002727,GBM,TROPOMI
Expectation,-0.010526315789473684,GBM,TROPOMI
Variance,3.915690471683441e-5,GBM,TROPOMI
p,0.22827505050782032,GBM,TROPOMI
