name,value,model,product
Moran_I_statistic,-0.01018382580261913,SLR,TROPOMI
Expectation,-0.010101010101010102,SLR,TROPOMI
Variance,3.606883387081022e-5,SLR,TROPOMI
p,0.5055010163701399,SLR,TROPOMI
