Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Erstfeld-A2,24.1405027932961,traffic,2691390,1188470,23.176486880655094,3,22.725448314232015,4,24.000159150250095,0.9640159126410062,1.4150544790640858,0.14034364304600544,RF,TROPOMI
Fribourg-Chamblioux,34.8230769230769,traffic,2577125,1184538,30.41854831319378,5,31.911092382106013,1,30.429246995849763,4.404528609883116,2.9119845409708844,4.393829927227134,RF,TROPOMI
Fribourg-Parc-Pérolles,13.5324022346369,background,2578181,1182941,19.159476123893324,2,19.68821371498993,1,19.59202493848257,-5.627073889256424,-6.155811480353032,-6.059622703845671,RF,TROPOMI
Genève-Necker,35.2967123287671,background,2499864,1118200,34.693030301857426,1,34.81986897837036,5,34.36125208780326,0.6036820269096737,0.47684335039674153,0.9354602409638417,RF,TROPOMI
Giubiasco,19.6839335180055,industry,2720255,1114535,20.333402338826325,1,20.110261748264147,2,19.660067478774234,-0.6494688208208252,-0.4263282302586475,0.02386603923126529,RF,TROPOMI
Härkingen-A1,31.9944903581267,traffic,2628875,1240185,33.56288016591191,3,32.56230419451392,5,33.2163236697207,-1.5683898077852128,-0.56781383638722,-1.2218333115940005,RF,TROPOMI
Ittigen,17.5338192419825,background,2603050,1202815,19.981896217489826,4,19.949211975337015,1,19.66491858333384,-2.448076975507327,-2.4153927333545155,-2.131099341351341,RF,TROPOMI
Jungfraujoch,0.270621468926554,background,2641910,1155280,6.190426542686053,4,7.232742276499871,1,6.427645685700992,-5.919805073759499,-6.962120807573317,-6.157024216774438,RF,TROPOMI
La-Chaux-de-Fonds,21.6700831024931,traffic,2553467,1216963,25.000518864727532,2,25.40752915304981,4,24.49530104932564,-3.3304357622344334,-3.737446050556713,-2.8252179468325416,RF,TROPOMI
Langenthal,13.1436813186813,background,2626340,1228935,18.185715977163174,4,18.05954246829774,5,19.259790338723896,-5.042034658481873,-4.915861149616438,-6.116109020042595,RF,TROPOMI
Lausanne-César-Roux,32.2245856353591,traffic,2538695,1152615,32.20277629875575,5,31.48827695096154,4,31.894698636645078,0.021809336603347163,0.7363086843975566,0.32988699871402005,RF,TROPOMI
Lausanne-Plaines-du-Loup,17.0352777777778,background,2537376,1154164,22.90246048169322,2,23.048503706991614,4,22.942408530180213,-5.867182703915418,-6.013225929213814,-5.907130752402413,RF,TROPOMI
Le-Landeron,8.4606648199446,background,2571175,1210800,10.782029159358988,4,9.77001299253173,4,10.488808655226766,-2.3213643394143872,-1.3093481725871285,-2.0281438352821652,RF,TROPOMI
Le-Locle,19.4044568245125,traffic,2548581,1212842,19.902138977093426,5,19.13941445110215,4,19.738500995597175,-0.49768215258092496,0.2650423734103491,-0.334044171084674,RF,TROPOMI
Les-Giettes,3.23178082191781,background,2563267,1119297,8.233131354000545,2,8.643972762865804,5,7.958915905928007,-5.001350532082735,-5.412191940947994,-4.727135084010197,RF,TROPOMI
