term,estimate,std.error,statistic,p.value
(Intercept),16.074206546786556,0.9042780468825057,17.77573457876403,1.3287262013249306e-62
TROPOMI_NO2,3.056523974536378,0.21460329861793426,14.242670053166398,1.7091291058792764e-42
rdens_200,0.7259511858410189,0.16423151122832497,4.420291699269307,1.079456268213449e-5
month_trans,5.712595183385973,0.2747217604477321,20.79411246519308,1.0420876492509368e-81
mjdens_2000,1.6973249687293275,0.10129634460823482,16.756033747256705,1.6118412112312838e-56
mjdens_100,0.9651596348024927,0.07715519303184215,12.50932823671595,9.620797093834039e-34
tcc_12H,-14.229498678317052,1.3204024249093962,-10.776637796082097,7.389932813631549e-26
traffint_0,1.3201808476405228,0.15191547209179704,8.690232992481405,1.2335827189492829e-17
lc_IND_percent_1000,5838.766974574268,769.7227173539542,7.585545863380478,6.836907783069008e-14
