month,Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,predicted_temporalCV,residual,residual_CV,residual_spatialCV,residual_temporalCV,model,product
1,Aarau-Buchenhof,30.5064516129032,traffic,2646140,1248741,29.14242172241211,4,28.246166229248047,5,29.370845794677734,28.797719955444336,1.3640298904910892,2.2602853836551517,1.1356058182254642,1.7087316574588627,GBM,OMI
1,Aigle,29.9433333333333,industry,2561330,1129900,27.793516159057617,1,26.009489059448242,5,26.08283042907715,26.30644989013672,2.1498171742756824,3.9338442738850574,3.860502904256151,3.636883443196581,GBM,OMI
1,Airolo,17.8516129032258,traffic,2690021,1153641,22.40300941467285,4,30.06916046142578,4,36.11140060424805,25.60631561279297,-4.551396511447052,-12.217547558199982,-18.259787701022248,-7.7547027095671694,GBM,OMI
1,Altdorf,22.8483870967742,traffic,2690175,1193550,24.11484146118164,3,28.066940307617188,4,35.314701080322266,26.9503231048584,-1.2664543644074406,-5.2185532108429875,-12.466313983548066,-4.1019360080841984,GBM,OMI
1,Avully-Passeiry,13.8806451612903,background,2489281,1113355,16.18723487854004,4,16.491628646850586,5,15.299307823181152,13.232457160949707,-2.3065897172497394,-2.6109834855602863,-1.4186626618908527,0.6481880003405927,GBM,OMI
1,Baden-Schönaustrasse,25.38,background,2666075,1257972,25.91568374633789,3,25.64374542236328,3,23.749155044555664,25.16950225830078,-0.5356837463378916,-0.26374542236328224,1.630844955444335,0.21049774169921776,GBM,OMI
1,Basel-Binningen,22.2290322580645,background,2610890,1265605,23.035232543945312,1,24.05569839477539,5,24.810388565063477,22.711442947387695,-0.8062002858808128,-1.826666136710891,-2.581356306998977,-0.48241068932319564,GBM,OMI
1,Basel-Feldbergstrasse,42.1857142857143,traffic,2611745,1268490,43.60702896118164,4,32.880367279052734,5,31.732685089111328,47.1818962097168,-1.4213146754673431,9.305347006661563,10.45302919660297,-4.996181924002499,GBM,OMI
1,Basel-St-Johann,26.2322580645161,background,2610795,1268365,27.503334045410156,3,32.45744705200195,5,27.830829620361328,29.101282119750977,-1.2710759808940573,-6.225188987485854,-1.5985715558452291,-2.8690240552348776,GBM,OMI
1,Bern-Bollwerk,40.1,traffic,2600170,1199990,38.20540237426758,4,34.651126861572266,1,35.9776496887207,39.570701599121094,1.8945976257324233,5.448873138427736,4.122350311279298,0.5292984008789077,GBM,OMI
1,Bern-Morgartenstrasse,25.7322580645161,background,2601818,1201338,24.637645721435547,1,26.165098190307617,1,25.13894271850586,24.281110763549805,1.094612343080552,-0.4328401257915182,0.5933153460102396,1.4511473009662943,GBM,OMI
1,Bern-Wankdorf,33.9903225806452,traffic,2602040,1201565,34.24510192871094,2,37.615509033203125,1,38.40589904785156,35.885128021240234,-0.254779348065739,-3.6251864525579265,-4.415576467206364,-1.8948054405950359,GBM,OMI
1,Beromünster,11.8032258064516,background,2655840,1226780,11.31638240814209,5,8.659729957580566,5,9.926961898803711,9.884502410888672,0.4868433983095102,3.1434958488710336,1.876263907647889,1.9187233955629281,GBM,OMI
1,Biel-Bienne,23.8645161290323,background,2586025,1221660,24.53871726989746,2,29.634986877441406,1,29.79083824157715,22.928916931152344,-0.6742011408651614,-5.770470748409107,-5.926322112544849,0.9355991978799558,GBM,OMI
1,Bioggio,38.9870967741935,industry,2714170,1096525,38.54503631591797,4,32.23666000366211,2,32.90898895263672,37.99876403808594,0.44206045827553453,6.750436770531394,6.0781078215567845,0.9883327361075658,GBM,OMI
1,Bodio,28.5774193548387,industry,2713360,1137370,28.994365692138672,3,23.436702728271484,2,25.427125930786133,31.808631896972656,-0.4169463372999722,5.140716626567215,3.150293424052567,-3.2312125421339566,GBM,OMI
1,Brigerbad,31.0516129032258,industry,2636790,1127555,28.2590389251709,3,24.037940979003906,2,23.666473388671875,26.076169967651367,2.7925739780549,7.013671924221892,7.385139514553924,4.975442935574431,GBM,OMI
1,Brione-sopra-Minusio,11.8322580645161,background,2706015,1115655,11.236800193786621,1,15.964017868041992,2,14.325011253356934,11.182014465332031,0.5954578707294793,-4.131759803525892,-2.492753188840833,0.6502435991840692,GBM,OMI
1,Bulle-Rue-de-Vevey,28.7709677419355,traffic,2570695,1162924,27.489774703979492,3,22.485437393188477,4,23.20112419128418,27.704771041870117,1.2811930379560081,6.285530348747024,5.569843550651321,1.0661967000653831,GBM,OMI
1,Bussigny,34.4193548387097,traffic,2532800,1155660,34.22309112548828,5,29.074953079223633,4,33.54850769042969,36.095359802246094,0.19626371322141978,5.344401759486068,0.8708471482800135,-1.6760049635363927,GBM,OMI
1,Camignolo,44.1870967741935,traffic,2715430,1106905,46.63425064086914,2,41.54184341430664,2,38.749088287353516,51.141841888427734,-2.4471538666756416,2.6452533598868584,5.438008486839983,-6.954745114234235,GBM,OMI
1,Chaumont,6.33448275862069,background,2565090,1211040,5.7270097732543945,2,5.615683555603027,4,5.83515739440918,6.067141056060791,0.6074729853662957,0.7187992030176629,0.4993253642115105,0.2673417025598992,GBM,OMI
1,Chiasso,49.4,traffic,2723490,1077455,47.44110870361328,1,38.812217712402344,2,39.67133331298828,46.422630310058594,1.9588912963867173,10.587782287597655,9.728666687011717,2.977369689941405,GBM,OMI
1,Chur-A13,40.3451612903226,traffic,2757725,1191375,35.95598602294922,3,28.47473907470703,1,27.411483764648438,32.350799560546875,4.389175267373382,11.87042221561557,12.933677525674163,7.994361729775726,GBM,OMI
