name,value,model,product
Moran_I_statistic,-0.014056863299815592,RF,TROPOMI
Expectation,-0.010101010101010102,RF,TROPOMI
Variance,3.631842633706617e-5,RF,TROPOMI
p,0.7442205340234961,RF,TROPOMI
