selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
TRUE,0.30, 1,200,0.70,0.50,gbdt,164,5.718111279658617
FALSE,0.30, 1,200,0.70,0.50,gbdt,99,5.965899550129333
TRUE,0.01, 3,200,0.70,0.50,gbdt,999,5.196218447069807
FALSE,0.01, 3,200,0.70,0.50,gbdt,763,5.4963132487092
TRUE,0.05, 3,200,0.70,0.50,gbdt,255,5.178605459308274
FALSE,0.05, 3,200,0.70,0.50,gbdt,185,5.514471402261939
TRUE,0.10, 3,200,0.70,0.50,gbdt,232,5.1336025013649
FALSE,0.10, 3,200,0.70,0.50,gbdt,111,5.545523036732706
TRUE,0.30, 3,200,0.70,0.50,gbdt,128,5.465403500068718
FALSE,0.30, 3,200,0.70,0.50,gbdt,102,5.863073350510008
TRUE,0.01, 5,200,0.70,0.50,gbdt,970,5.1890495531017065
FALSE,0.01, 5,200,0.70,0.50,gbdt,737,5.541144411863382
TRUE,0.05, 5,200,0.70,0.50,gbdt,514,5.187374602503741
FALSE,0.05, 5,200,0.70,0.50,gbdt,137,5.562638123222357
TRUE,0.10, 5,200,0.70,0.50,gbdt,133,5.188379882574913
FALSE,0.10, 5,200,0.70,0.50,gbdt,99,5.636359633181208
TRUE,0.30, 5,200,0.70,0.50,gbdt,180,5.285491215491806
FALSE,0.30, 5,200,0.70,0.50,gbdt,23,5.803328643648323
TRUE,0.01, 8,200,0.70,0.50,gbdt,988,5.223292122206038
FALSE,0.01, 8,200,0.70,0.50,gbdt,692,5.525329201279431
TRUE,0.05, 8,200,0.70,0.50,gbdt,296,5.206571295099745
FALSE,0.05, 8,200,0.70,0.50,gbdt,170,5.542164720386404
TRUE,0.10, 8,200,0.70,0.50,gbdt,104,5.25861689060296
FALSE,0.10, 8,200,0.70,0.50,gbdt,102,5.656773862837187
TRUE,0.30, 8,200,0.70,0.50,gbdt,32,5.528933132573228
FALSE,0.30, 8,200,0.70,0.50,gbdt,28,6.074718594984953
TRUE,0.01,10,200,0.70,0.50,gbdt,652,5.224922391036977
FALSE,0.01,10,200,0.70,0.50,gbdt,719,5.519714967162936
TRUE,0.05,10,200,0.70,0.50,gbdt,140,5.252214355792431
FALSE,0.05,10,200,0.70,0.50,gbdt,147,5.505585594596599
TRUE,0.10,10,200,0.70,0.50,gbdt,245,5.202969458854409
FALSE,0.10,10,200,0.70,0.50,gbdt,73,5.692947159988317
TRUE,0.30,10,200,0.70,0.50,gbdt,29,5.588251259479162
FALSE,0.30,10,200,0.70,0.50,gbdt,26,5.905372183703869
TRUE,0.01, 1, 25,0.85,0.50,gbdt,1000,5.964091768856742
