term,estimate,std.error,statistic,p.value
(Intercept),7.160053404236255,1.0273645959444189,6.969340224980479,5.334035364408824e-10
TROPOMI_NO2,2.286489220487582,0.6450621869689923,3.544602778890668,6.291241724880367e-4
rdens_200,0.8407330439310396,0.46566810419885407,1.8054340341335076,0.07438798433971176
mjdens_2000,1.7650372713340243,0.29295155632601744,6.025014147287084,3.740571352088453e-8
mjdens_100,0.9074304171209244,0.2153518848105758,4.2137101234061785,6.00812372523522e-5
traffint_0,1.384224868687329,0.43457749588443095,3.1852198555984175,0.0019945867335745635
lc_IND_percent_500,1083.4100700821757,384.41317972827187,2.8183478798723813,0.005947683744343826
