layers,neurons,epochs,batch.size,regularization,selection,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
4,50,25,20,NA,0,15.908701106266479,63.255702398286786,2.624824380212027,5.8751985755666185,0.8871423114359033,0.5720322650677817
1,100,25,20,NA,0,21.114782035804584,53.48511565029906,2.9860368795984433,5.38048561207426,0.8450734343758378,0.6276154350838028
2,100,25,20,NA,0,13.234185853301522,50.805355532128324,2.3958443987024993,5.358122612103357,0.8997342210108265,0.625757760265569
3,100,25,20,NA,0,13.843137357672767,56.27202870633621,2.4253521657255064,5.405505383937161,0.9138385103368222,0.5995997451513889
4,100,25,20,NA,0,11.724930475994107,56.04266138891852,2.250977823176733,5.535401896096525,0.9152611216233646,0.6025547065623085
1,200,25,20,NA,0,18.54898302055269,54.892211190960175,2.812749022406418,5.45971290042688,0.8681441208171659,0.628576232435471
2,200,25,20,NA,0,12.17085854691243,54.73683805197642,2.23527587416555,5.534212196298651,0.9094968049807239,0.6028447431599336
3,200,25,20,NA,0,10.726538045436566,66.13139378898427,2.279263448070806,6.020595548110937,0.9186218741166611,0.5530916878852361
4,200,25,20,NA,0,10.66401403985085,57.61999736029168,2.2539774340861283,5.613791757961224,0.9198156209442845,0.6042865443811231
1,5,50,20,NA,0,27.107125424639733,51.211391579996395,3.5205354593958456,5.314487393358247,0.7960350698896268,0.6318637469356748
2,5,50,20,NA,0,27.64423248925035,53.699016205663945,3.581123846731595,5.285616884570372,0.8012793943922628,0.6268160541200756
3,5,50,20,NA,0,31.837205006009125,145.45831437836296,3.832656282995104,8.301851765288472,0.7670026466054518,0.29786596370414825
4,5,50,20,NA,0,30.60308660409723,158.4989919475567,3.7059201839460476,8.707535018453637,0.7762134433787502,0.2613058632751955
1,10,50,20,NA,0,26.421896488994346,51.13692882528677,3.4013909845637156,5.2812747829610345,0.8016111506701292,0.6422019840888578
2,10,50,20,NA,0,20.603700524586138,51.79030505680929,3.018496812142592,5.318032108232238,0.8439603634584276,0.6376522433408774
3,10,50,20,NA,0,27.211618325693248,57.897187501830786,3.4008312159479765,5.5476875260332905,0.8313568919650824,0.594959183869496
4,10,50,20,NA,0,19.78989352095491,61.59864126419035,2.859219447276713,5.839800921656183,0.8673355621381948,0.5832996946058363
1,20,50,20,NA,0,20.72908610321696,55.99313245517948,3.037265892494569,5.517909829218684,0.8544956101347552,0.6219208294292902
2,20,50,20,NA,0,17.217391184391357,56.47192243623182,2.6468467964947058,5.661456621240818,0.8823001241810283,0.610675243851947
3,20,50,20,NA,0,16.643082074313146,57.2772918905781,2.6952641819693883,5.573406098640519,0.8845148567542527,0.5965618608700676
4,20,50,20,NA,0,14.190893382829225,58.44042562625374,2.4932395989880085,5.558659596875384,0.8963643727512156,0.6020634586327562
1,50,50,20,NA,0,16.77672957905114,54.54216952717242,2.7317838837822035,5.493681505190269,0.874681090171105,0.629686704132367
2,50,50,20,NA,0,11.609385419422802,56.45634557433491,2.1754435926365105,5.665344207062078,0.9133084231946085,0.6073063963234558
3,50,50,20,NA,0,13.349515361563707,56.39145720082109,2.3586421825430985,5.596416288777752,0.9086428750360845,0.6115046399995117
4,50,50,20,NA,0,10.449580032636012,53.82166493587467,2.086897571406632,5.333361017669633,0.9254590698545444,0.6221949646308101
1,100,50,20,NA,0,14.910793360565341,56.438092259839664,2.5095942862749143,5.604677543145495,0.8902712530258149,0.6161953289991621
2,100,50,20,NA,0,10.851938942686196,53.66375247485992,2.07405491053152,5.464309294328643,0.9298479754308598,0.6240819374986841
3,100,50,20,NA,0,12.066394016325285,56.678752261347874,2.2131822074477867,5.60997173121796,0.9230090165613847,0.5962597769183281
4,100,50,20,NA,0,13.638008175954797,52.78243127640103,2.4549740891777443,5.250928027075418,0.9301939690282731,0.6246200123534752
1,200,50,20,NA,0,14.024023353720342,54.09312180432771,2.396279638113915,5.592501450220281,0.8957488544627042,0.6259252970648231
2,200,50,20,NA,0,11.827333484373117,59.8588851013181,2.2552840375825918,5.6897810623387,0.9225886560373314,0.5836485658486223
3,200,50,20,NA,0,9.788066496099548,59.40122794074172,1.9766545386889371,5.599738422797146,0.9352828755507426,0.5867599336770878
4,200,50,20,NA,0,10.94996704588596,55.996455329073946,2.4588237474792325,5.479394524769165,0.9342013040759807,0.6015797883895249
1,5,25,100,NA,0,70.44289381314161,77.76724508759784,6.119351873902358,6.487838645136572,0.5225680033111407,0.4449082302575528
2,5,25,100,NA,0,64.336412306601,166.83056591057144,5.78115379384577,9.024897168646355,0.5514266018334382,0.18003935198887497
3,5,25,100,NA,0,75.52352503794262,213.9417536581962,6.3082198105146094,10.555096033909136,0.46822236846630044,0.13211070864808702
4,5,25,100,NA,0,538.4523137848893,192.4712767737917,20.170016372808536,9.87428290839202,NA,0.12111658734525312
1,10,25,100,NA,0,50.35126643709639,77.81243979534338,4.997252083070272,6.3608932856090545,0.6421050262963991,0.45672926861670143
2,10,25,100,NA,0,74.6632783928723,77.08688082207998,6.263044939690322,6.3541995321756755,0.47279903255480293,0.46400741066136164
3,10,25,100,NA,0,67.43562778933003,66.06812898479207,5.926905850286904,5.967004314210789,0.5327793628812475,0.5276498159493759
4,10,25,100,NA,0,51.09796665139543,76.23619613553545,5.01867816148672,6.362818113788206,0.6745076109901038,0.47451962722388535
1,20,25,100,NA,0,59.40227571209263,66.01034682136817,5.595010993250195,5.9736960090670195,0.5801191666086463,0.5437500771443531
2,20,25,100,NA,0,47.77593356765277,58.27275385969079,4.941299068627013,5.5446498862516265,0.6541823528056491,0.5871248829068642
3,20,25,100,NA,0,39.594528500849684,63.66055281527063,4.376829454625884,5.954368779015867,0.7098550446768864,0.5713898251960613
4,20,25,100,NA,0,39.005243855646576,59.79353074378211,4.269678507292936,5.707230914856775,0.7528858204983621,0.5898478424987571
1,50,25,100,NA,0,33.40550046174604,55.86630506136425,3.9595901785734657,5.549378824873228,0.7542799489953738,0.6045796856558296
2,50,25,100,NA,0,30.200628760260237,55.5536985083594,3.719530877942372,5.512912617694879,0.7817770223918697,0.6082967388713167
3,50,25,100,NA,0,26.32669476317563,54.0684418317756,3.442584726383747,5.310402960673514,0.8261843895396311,0.6184237975490029
4,50,25,100,NA,0,26.223379973129127,57.41072304575299,3.3999431684050028,5.576737408531887,0.8121956390309064,0.6076768947170682
1,100,25,100,NA,0,32.879543124033574,50.70738327665602,3.9005862780894005,5.265875311621398,0.780697404465286,0.6345460072941883
2,100,25,100,NA,0,22.359275328323932,53.569759934024155,3.050099356639866,5.412695771825267,0.8409850903396664,0.617214486913159
3,100,25,100,NA,0,19.369794274321993,55.5321478230337,2.893893883391891,5.571622577044564,0.8582026676561845,0.6069562861614457
4,100,25,100,NA,0,21.704470322680155,61.11349279789285,3.0980145937167896,5.746248704272658,0.8602787501424555,0.5806977781663318
1,200,25,100,NA,0,26.431779928391805,51.71172795410546,3.5205055257208944,5.361508301990056,0.8007460453297067,0.638292354825695
2,200,25,100,NA,0,14.982776468827918,60.268902402884514,2.646258922175414,5.729244929318656,0.886789137836064,0.5774454980867231
3,200,25,100,NA,0,13.982160784785014,58.33163273659074,2.4072801151259022,5.706641348444351,0.9014857769688458,0.591139738013334
4,200,25,100,NA,0,11.654941138806707,58.49599650938529,2.284931886879026,5.533869042286736,0.9115886963350353,0.5872098285794727
