mtry,N.trees,OOB_MSE,OOB_R2,CV_R2
3,50,27.432332307260726,0.6867710770548994,0.6838165394562928
5,50,28.791842956812552,0.6712478597169844,0.6801171371055907
8,50,28.181343589383236,0.6782186873220415,0.6913460879062143
10,50,30.52702708754243,0.6514351128352294,0.6769574685441244
20,50,28.876863684316405,0.6702770727417555,0.6536807092585339
30,50,27.03689334932774,0.6912862935336346,0.6746922142186167
40,50,30.064458604935048,0.6567168302616806,0.6506418877586551
3,100,25.66798835951718,0.7069167776926153,0.6790014257096457
5,100,28.338224612641945,0.6764273823248779,0.6878353021583173
8,100,26.10481595878969,0.7019289758207122,0.6871458010489134
10,100,27.155299746916906,0.6899343010026586,0.674767351288277
20,100,27.40036903480392,0.6871360413347611,0.6678111798112701
30,100,26.937645200547834,0.6924195326034455,0.6762150113985593
40,100,28.739688792663,0.6718433684211184,0.6634537667989939
3,150,25.31812963242321,0.7109115482080477,0.6878649866197553
5,150,27.975828306405912,0.6805653099137599,0.689455043529452
8,150,25.66311398707845,0.7069724344414442,0.6962032655398193
10,150,26.199937963093106,0.7008428500541308,0.6781794570722779
20,150,27.00801952414845,0.6916159817665166,0.66806900245535
30,150,27.264256450530034,0.688690207334715,0.6824587396100663
40,150,28.11729571235324,0.6789500012808518,0.6661990730102423
3,250,24.705051354304246,0.7179118224313741,0.6967093607428925
5,250,27.39411784924315,0.6872074188646917,0.6903335970131692
8,250,26.152684406290362,0.7013824024529887,0.6922555872973392
10,250,26.147800170752117,0.7014381718210438,0.6828268704304233
20,250,26.251313022746896,0.7002562373512314,0.6688468313064629
30,250,26.97548892406642,0.6919874239287186,0.679300686468066
40,250,27.084565253663246,0.6907419643427184,0.6715579182600624
3,300,24.9850161274469,0.7147151177774707,0.6988442549302099
5,300,27.095119554310937,0.6906214528168559,0.6930679528927544
8,300,26.176809025214144,0.7011069417915576,0.6938455549621466
10,300,25.831468370948915,0.7050501238722159,0.6864664721556331
20,300,26.00673799872219,0.7030488533962862,0.6700500380588136
30,300,26.845791876344634,0.6934683357998649,0.6762566322288158
40,300,26.637039309413808,0.6958519224730426,0.6700849942571944
3,500,25.168868948401883,0.7126158423515564,0.6990726203672702
5,500,25.918859483963434,0.7040522712690208,0.692290284621521
8,500,25.83216457490753,0.7050421744491167,0.6909393341995026
10,500,25.713386523694712,0.706398410609943,0.6847065623403327
20,500,25.75839397004993,0.7058845048366951,0.6751181440068633
30,500,26.581863620948074,0.6964819316635591,0.6733096714565538
40,500,26.333218348047385,0.6993210227825253,0.669644543743763
3,1000,25.325081382893202,0.710832171460642,0.6994572052757427
5,1000,25.80030843795896,0.7054059154301543,0.695630311506646
8,1000,25.695006919276953,0.7066082733234538,0.6960424741719783
10,1000,25.49460446878792,0.7088965163725373,0.6887458048520646
20,1000,25.710774843170046,0.7064282314020162,0.6788374003322647
30,1000,26.661380414343608,0.6955739899226835,0.675730857731731
40,1000,26.61540672820524,0.6960989284525775,0.6718606539676368
3,1500,25.32275539834942,0.7108587301077625,0.6987568629124268
5,1500,25.266612929822497,0.7114997782239487,0.6961379472520612
8,1500,25.312018058341696,0.7109813316207597,0.6949527712546743
10,1500,25.273108952624696,0.7114256050839121,0.6890770382793018
20,1500,25.452572670507948,0.7093764454852798,0.6785058806301411
30,1500,26.486084847476135,0.6975755565773867,0.6742265891484441
40,1500,26.80348901619144,0.6939513599618234,0.6708470131951046
3,2000,25.468215029323183,0.7091978372958945,0.6988904870228666
5,2000,25.461375150641672,0.7092759366644967,0.6960128535581543
8,2000,25.544296881711638,0.7083291165319294,0.6943384318549503
10,2000,25.29646892324336,0.7111588753594775,0.6910854485399842
20,2000,25.74309505655195,0.7060591914854105,0.680079960210672
30,2000,26.57606462648133,0.6965481459675649,0.6750823197393112
40,2000,26.926808559304135,0.6925432679616749,0.6699303607556798
3,3000,25.315614540882002,0.7109402661240358,0.7008389301786647
5,3000,25.283049080758847,0.7113121063265143,0.6972890002538809
8,3000,25.22576489774403,0.7119661908114406,0.6938372181389173
10,3000,25.28016482351719,0.7113450394646516,0.6909041834887247
20,3000,25.715367061316837,0.7063757963582897,0.6797489105058049
30,3000,26.45435177741607,0.6979378923512948,0.6758751261786483
40,3000,26.66361491065416,0.6955484759100636,0.6711429425225726
3,5000,25.34457155597962,0.7106096280087951,0.7015239139112008
5,5000,25.223638614477835,0.7119904692216715,0.6980543223649274
8,5000,25.18499337049483,0.7124317298485174,0.6931962947436267
10,5000,25.34012977911722,0.7106603452780009,0.6910405743712086
20,5000,25.732044679379836,0.7061853673315248,0.6793802113224459
30,5000,26.25048518182436,0.7002656898366283,0.6760704430626471
40,5000,26.629933593280015,0.6959330572371747,0.6715379922108435
