mtry,N.trees,OOB_MSE,OOB_R2,CV_R2
3,50,34.728094538234096,0.8126187533356628,0.623562962620696
5,50,32.193646157438,0.8262937937752449,0.6270391187225484
8,50,30.585986542518146,0.8349681903081135,0.6334354287492268
10,50,30.545473810477436,0.835186783534621,0.6260653154721335
15,50,30.555938915672343,0.8351303173079543,0.6189294693368447
3,100,33.57574996989771,0.8188364213267477,0.6273345565972144
5,100,30.785600131081114,0.8338911417808789,0.6302239526199022
8,100,29.65821365571236,0.8399741442040188,0.6355887740099665
10,100,29.415106456914792,0.8412858697849778,0.630005039837705
15,100,29.444277623641135,0.8411284718724082,0.6205308197581084
3,150,33.091698654442204,0.8214482012169374,0.6283626620226929
5,150,30.53028379059461,0.8352687438293145,0.6342765815402913
8,150,29.285514630582252,0.8419851041742692,0.6369976951315409
10,150,29.0426094893035,0.8432957395200662,0.6315359932834497
15,150,29.01848679769239,0.8434258975401676,0.6208510090317497
3,250,32.89140126534947,0.8225289393043809,0.6292699443192429
5,250,30.25311415640844,0.8367642589815819,0.6358463843582769
8,250,29.05914638717474,0.8432065119197537,0.6379873604125892
10,250,28.819286296328727,0.8445007171862784,0.633482090230044
15,250,28.74845304389591,0.8448829098554309,0.621856218930338
3,300,32.834346247759996,0.8228367892013166,0.6286928132956
5,300,30.194493479731783,0.8370805566541732,0.6361921471273656
8,300,29.006316227058075,0.8434915658910633,0.6386182633574272
10,300,28.74724038845714,0.844889452940818,0.6334894126785708
15,300,28.659186741329552,0.845364561131794,0.6213664739424849
3,500,32.7296333808462,0.823401785000971,0.6283501214334681
5,500,30.061877861248337,0.8377961064201195,0.6365736835949388
8,500,28.823509597486783,0.8444779296580088,0.6387300694559737
10,500,28.578750657394625,0.8457985674855815,0.6341702848091253
15,500,28.52133090680925,0.8461083853604434,0.6208441032937049
3,1000,32.659778151047455,0.8237787005853059,0.6290285911542399
5,1000,29.931033808805296,0.8385020974049804,0.6381135050637852
8,1000,28.685018213528494,0.8452251831000255,0.6395007122243147
10,1000,28.404858476859513,0.8467368318507045,0.6346799844879151
15,1000,28.420491577977018,0.8466524808370489,0.6215616475060812
3,1500,32.61958503483302,0.8239955692711272,0.6287601352388893
5,1500,29.867157086784765,0.8388467549499505,0.6378772759072102
8,1500,28.660352725869316,0.8453582698670541,0.6389408458072344
10,1500,28.397243983442515,0.8467779171244049,0.635048372370512
15,1500,28.36999569042983,0.8469249398500132,0.6219186082859569
3,2000,32.5991550769152,0.8241058025285184,0.6288554845206836
5,2000,29.850442152825575,0.8389369431737742,0.6378827300186816
8,2000,28.633138194801756,0.8455051104244367,0.6387409845164177
10,2000,28.388720330433884,0.8468239079208516,0.6348252950289647
15,2000,28.35797962034629,0.8469897745673276,0.621729041526839
3,3000,32.56652880530526,0.8242818430377825,0.628484371582347
5,3000,29.8361972621312,0.8390138038657414,0.6377388689749474
8,3000,28.610134508495207,0.8456292306641247,0.6387710202220641
10,3000,28.357687050506865,0.8469913531768649,0.6350761759261688
15,3000,28.34827291356649,0.8470421487284093,0.6219030424502123
