Station_name,spatial_CV,CV,dist_nearest_road_bysite,dist_nearest_mainroad_bysite,OBJECTID_all,DTV_all,StreetType_all,OBJECTID_main,DTV_main,StreetType_main,geometry
Solothurn-Werkhofstrasse,5,3,8.03377719244207,8.03377719244207,363724,6151,"Hauptstrasse, innerorts",363724,6151,"Hauptstrasse, innerorts","c(2607259, 1228757)"
Rigi-Seebodenalp,4,4,277.504954911501,1982.98734334029,616042,70,"Erschliessungsstrasse, ausser*",615666,8218,"Hauptstrasse, innerorts","c(2677835, 1213440)"
Schwyz,4,3,8.69085049598952,112.493927074558,668657,180,"Erschliessungsstrasse, innero*",668544,12241,"Hauptstrasse, innerorts","c(2691911, 1208039)"
Tänikon,3,5,51.9415297751496,806.908188834759,799250,3480,"Verbindungsstrasse, ausserorts",799326,5127,"Hauptstrasse, innerorts","c(2710500, 1259810)"
Airolo,4,1,43.0910663577032,190.370252940487,661871,1685,"Hauptstrasse, innerorts",661939,10260,Autobahn,"c(2690021, 1153641)"
Bioggio,2,5,11.4592416326245,231.397738394421,818091,3860,"Verbindungsstrasse, ausserorts",817934,24450.5,Autobahn,"c(2714170, 1096525)"
Bodio,2,2,2.53179778298779,314.693541128871,836372,150,"Erschliessungsstrasse, innero*",774044,10600,Autobahn,"c(2713360, 1137370)"
Brione-sopra-Minusio,2,1,3.60050218376786,770.675444009948,772198,140,"Erschliessungsstrasse, innero*",770486,7920,"Hauptstrasse, innerorts","c(2706015, 1115655)"
Camignolo,2,4,12.3345625297149,12.3345625297149,826902,24046.5,Autobahn,826902,24046.5,Autobahn,"c(2715430, 1106905)"
Chiasso,2,1,72.5424703180527,159.89259432073,870389,190,"Erschliessungsstrasse, innero*",869852,23335.5,Autobahn,"c(2723490, 1077455)"
Giubiasco,2,1,43.9746612105857,300.500216173448,829254,80,"Erschliessungsstrasse, ausser*",829220,20820,Autobahn,"c(2720255, 1114535)"
Locarno,2,5,44.9459764613262,44.9459764613262,770456,13843,"Hauptstrasse, innerorts",770456,13843,"Hauptstrasse, innerorts","c(2704690, 1113855)"
Lugano-Università,2,4,50.001935219267,50.001935219267,821261,5430,"Verbindungsstrasse, innerorts",821261,5430,"Verbindungsstrasse, innerorts","c(2717615, 1096645)"
Magadino-Cadenazzo,2,4,131.100518416354,979.66514522968,827298,80,"Erschliessungsstrasse, ausser*",827207,24238,"Hauptstrasse, innerorts","c(2715500, 1113200)"
Mendrisio-A2,2,3,24.7035547994736,37.0745095869615,810851,2170,"Verbindungsstrasse, innerorts",808241,20466,Autostrasse,"c(2719472, 1081336)"
Moleno-A2,2,2,12.3688027285454,20.1171114794285,835249,40,"Erschliessungsstrasse, ausser*",835251,13680,Autobahn,"c(2719940, 1126560)"
Lugano-Pregassona,2,2,11.5873429697454,198.929158243267,822082,720,"Sammelstrasse, innerorts",821699,5220,"Verbindungsstrasse, innerorts","c(2718385, 1098300)"
Altdorf,4,5,79.5948425111949,103.379941079982,664981,3040,"Verbindungsstrasse, ausserorts",664994,10900,Autobahn,"c(2690175, 1193550)"
Erstfeld-A2,4,3,8.16331434956286,8.16331434956286,664070,10900,Autobahn,664070,10900,Autobahn,"c(2691390, 1188470)"
Aigle,5,3,25.4679928276146,327.16754118004,133913,390,"Sammelstrasse, ausserorts",134184,22091.5,"Hauptstrasse, ausserorts","c(2561330, 1129900)"
Bussigny,4,2,12.3843694724939,15.0246775113703,55216,4299,"Verbindungsstrasse, innerorts",55223,9117,"Verbindungsstrasse, innerorts","c(2532800, 1155660)"
Lausanne-César-Roux,4,5,7.05540206571293,7.05540206571293,74043,12148,"Hauptstrasse, innerorts",74043,12148,"Hauptstrasse, innerorts","c(2538695, 1152615)"
Lausanne-Plaines-du-Loup,4,2,72.0719779135637,114.996739084007,73678,1160,"Erschliessungsstrasse, innero*",73231,14029,"Hauptstrasse, innerorts","c(2537376, 1154164)"
Montreux,5,3,30.9211579626147,112.127564134884,137104,3590,"Verbindungsstrasse, innerorts",138476,12911,"Hauptstrasse, innerorts","c(2559500, 1142490)"
Morges,4,5,26.4735135915057,26.4735135915057,49046,14447,"Hauptstrasse, innerorts",49046,14447,"Hauptstrasse, innerorts","c(2527930, 1151552)"
Nyon-Hôpital,5,1,29.5234587294866,166.725752436786,26036,210,"Erschliessungsstrasse, innero*",25889,9900,"Hauptstrasse, innerorts","c(2506900, 1137640)"
Payerne,4,1,70.1687252283836,817.713452254463,156294,90,"Erschliessungsstrasse, ausser*",157758,6112,"Hauptstrasse, innerorts","c(2562285, 1184775)"
Yverdon-les-Bains,4,4,5.03926008096541,21.5519791405929,88504,230,"Erschliessungsstrasse, innero*",88572,11719.5,"Hauptstrasse, innerorts","c(2538615, 1181105)"
Brigerbad,2,1,4.88812098794595,240.168690715533,459587,80,"Erschliessungsstrasse, ausser*",459607,10154.5,"Hauptstrasse, ausserorts","c(2636790, 1127555)"
Eggerberg,2,2,24.0100625879012,1462.79175607741,428919,80,"Erschliessungsstrasse, ausser*",428318,15774,"Hauptstrasse, ausserorts","c(2634047, 1128450)"
Les-Giettes,5,2,59.2035471902782,2445.59208372896,130362,1140,"Verbindungsstrasse, innerorts",130978,5360,"Verbindungsstrasse, ausserorts","c(2563267, 1119297)"
Massongex,5,5,2.06568297436377,690.657015671886,131566,2090,"Verbindungsstrasse, ausserorts",176149,10693,"Hauptstrasse, ausserorts","c(2564941, 1121275)"
Montana,2,3,17.5579638739393,708.11126950274,308381,3310,"Verbindungsstrasse, ausserorts",308918,8910,"Hauptstrasse, innerorts","c(2603346, 1128235)"
Saxon,2,3,119.791766289706,495.940419743663,223955,80,"Erschliessungsstrasse, ausser*",223655,15094,Autobahn,"c(2577566, 1109764)"
Sion-Aéroport-A9,2,1,28.2869249655549,50.9744290610263,268350,340,"Sammelstrasse, ausserorts",268082,14467,Autobahn,"c(2592540, 1118755)"
Sion,2,2,24.6360966757136,84.2738986865337,269783,2766,"Verbindungsstrasse, innerorts",269773,6530,"Verbindungsstrasse, innerorts","c(2593702, 1120409)"
Zug,3,5,15.6591869287357,25.9321992339834,619881,320,"Erschliessungsstrasse, innero*",619751,10480.5,"Hauptstrasse, innerorts","c(2681625, 1224641)"
Dübendorf-EMPA,3,1,48.3820214548089,172.599067425553,692253,220,"Erschliessungsstrasse, innero*",692257,15910,"Hauptstrasse, innerorts","c(2688675, 1250900)"
Opfikon-Balsberg,3,2,9.61733722918362,9.61733722918362,691685,83637,"Hauptstrasse, innerorts",691685,83637,"Hauptstrasse, innerorts","c(2685351, 1254830)"
Opfikon-Glattpark,3,2,132.828752975126,251.62060726476,690529,100,"Erschliessungsstrasse, ausser*",690549,53189,"Hauptstrasse, ausserorts","c(2684665, 1253012)"
Zürich-Rosengartenstrasse,3,2,11.0569233135259,11.0569233135259,641075,52021,Autostrasse,641075,52021,Autostrasse,"c(2682096, 1249940)"
Winterthur-Veltheim,3,3,35.6023793950522,128.391915018185,749188,1260,"Sammelstrasse, innerorts",749251,7640,"Verbindungsstrasse, innerorts","c(2696556, 1262725)"
Zürich-Schimmelstrasse,3,5,11.197267519342,15.8898164207998,636066,80,"Erschliessungsstrasse, innero*",635827,18125,"Hauptstrasse, innerorts","c(2681942, 1247245)"
Zürich-Heubeeribüel,3,4,35.5628348865068,35.5628348865068,690802,5100,"Verbindungsstrasse, innerorts",690802,5100,"Verbindungsstrasse, innerorts","c(2685126, 1248460)"
Zürich-Stampfenbachstrasse,3,4,8.96106266523242,8.96106266523242,642520,16740,"Hauptstrasse, innerorts",642520,16740,"Hauptstrasse, innerorts","c(2683146, 1249020)"
Zürich-Kaserne,3,1,49.5091626350233,54.3871334133692,641657,2460,"Sammelstrasse, innerorts",640929,14850,"Verbindungsstrasse, innerorts","c(2682450, 1247990)"
Aarau-Buchenhof,5,1,14.321559989772,14.321559989772,522223,17033,"Hauptstrasse, innerorts",522223,17033,"Hauptstrasse, innerorts","c(2646140, 1248741)"
Schupfart-Blind,5,3,7.1354951001716,2187.00526748033,492195,5,"Erschliessungsstrasse, ausser*",493879,7992,"Hauptstrasse, ausserorts","c(2639304, 1263441)"
Sissach-Bützenen,5,3,6.65946877666561,369.810681295995,451878,1493,"Sammelstrasse, innerorts",451780,9500,"Hauptstrasse, innerorts","c(2628415, 1257193)"
